Merged_sample_name	Sample_name	Read1_file	Input	Filtered	Denoised	Merged	Tabled	Nonchim
AD001-E1Fract1_S1	AD001-E1Fract1_S1	AD001-E1Fract1_S1_L001_R1_001_noPrimers.fastq.gz	203072	189480	185836	149138	141242	124056
AD002-E1Fract2_S2	AD002-E1Fract2_S2	AD002-E1Fract2_S2_L001_R1_001_noPrimers.fastq.gz	193516	186934	183498	163226	152360	143686
AD003-E1Fract3_S3	AD003-E1Fract3_S3	AD003-E1Fract3_S3_L001_R1_001_noPrimers.fastq.gz	199058	189620	186576	144102	128744	117850
AD004-E1Fract4_S4	AD004-E1Fract4_S4	AD004-E1Fract4_S4_L001_R1_001_noPrimers.fastq.gz	165730	159410	155874	127524	114052	101274
AD005-E1Fract5_S5	AD005-E1Fract5_S5	AD005-E1Fract5_S5_L001_R1_001_noPrimers.fastq.gz	149802	146232	141792	125606	119508	103074
AD006-E1Fract6_S6	AD006-E1Fract6_S6	AD006-E1Fract6_S6_L001_R1_001_noPrimers.fastq.gz	170172	165784	161382	141646	136638	121854
AD007-E1Fract7_S7	AD007-E1Fract7_S7	AD007-E1Fract7_S7_L001_R1_001_noPrimers.fastq.gz	144592	140614	137168	120848	118116	105324
AD008-E1Fract8_S8	AD008-E1Fract8_S8	AD008-E1Fract8_S8_L001_R1_001_noPrimers.fastq.gz	96988	94386	92200	82296	80516	74026
AD009-E1Fract9_S9	AD009-E1Fract9_S9	AD009-E1Fract9_S9_L001_R1_001_noPrimers.fastq.gz	200064	190596	187686	150516	148626	136838
AD010-E1Fract10_S10	AD010-E1Fract10_S10	AD010-E1Fract10_S10_L001_R1_001_noPrimers.fastq.gz	203064	198270	193310	174086	171288	159704
AD011-E1Fract11_S11	AD011-E1Fract11_S11	AD011-E1Fract11_S11_L001_R1_001_noPrimers.fastq.gz	190264	184138	180418	151380	149672	137160
AD012-E1Fract12_S12	AD012-E1Fract12_S12	AD012-E1Fract12_S12_L001_R1_001_noPrimers.fastq.gz	199908	193726	189626	165036	163538	150918
AD013-E2Fract1_S13	AD013-E2Fract1_S13	AD013-E2Fract1_S13_L001_R1_001_noPrimers.fastq.gz	135846	131630	129216	116810	93528	87626
AD014-E2Fract2_S14	AD014-E2Fract2_S14	AD014-E2Fract2_S14_L001_R1_001_noPrimers.fastq.gz	183474	178546	175252	158392	140534	131576
AD015-E2Fract3_S15	AD015-E2Fract3_S15	AD015-E2Fract3_S15_L001_R1_001_noPrimers.fastq.gz	166100	157172	154874	138894	113880	96734
AD016-E2Fract4_S16	AD016-E2Fract4_S16	AD016-E2Fract4_S16_L001_R1_001_noPrimers.fastq.gz	166190	158932	156058	141328	113600	95834
AD017-E2Fract5_S17	AD017-E2Fract5_S17	AD017-E2Fract5_S17_L001_R1_001_noPrimers.fastq.gz	227684	218382	213382	192058	168652	137294
AD018-E2Fract6_S18	AD018-E2Fract6_S18	AD018-E2Fract6_S18_L001_R1_001_noPrimers.fastq.gz	154000	148566	143472	126968	118714	104656
AD019-E2Fract7_S19	AD019-E2Fract7_S19	AD019-E2Fract7_S19_L001_R1_001_noPrimers.fastq.gz	143520	140396	137210	124512	118586	108956
AD020-E2Fract8_S20	AD020-E2Fract8_S20	AD020-E2Fract8_S20_L001_R1_001_noPrimers.fastq.gz	99352	96668	94404	85700	80970	75008
AD021-E2Fract9_S21	AD021-E2Fract9_S21	AD021-E2Fract9_S21_L001_R1_001_noPrimers.fastq.gz	180178	175848	171410	155358	146774	135860
AD022-E2Fract10_S22	AD022-E2Fract10_S22	AD022-E2Fract10_S22_L001_R1_001_noPrimers.fastq.gz	233950	224606	220268	179176	173184	159182
AD023-E2Fract11_S23	AD023-E2Fract11_S23	AD023-E2Fract11_S23_L001_R1_001_noPrimers.fastq.gz	203760	197598	194004	167968	163288	152768
AD024-E2Fract12_S24	AD024-E2Fract12_S24	AD024-E2Fract12_S24_L001_R1_001_noPrimers.fastq.gz	236458	226888	222488	179964	177188	164128
AD025-E3Fract1_S25	AD025-E3Fract1_S25	AD025-E3Fract1_S25_L001_R1_001_noPrimers.fastq.gz	181040	175734	172280	151846	140996	132034
AD026-E3Fract2_S26	AD026-E3Fract2_S26	AD026-E3Fract2_S26_L001_R1_001_noPrimers.fastq.gz	239558	232546	227762	203102	195050	186400
AD027-E3Fract3_S27	AD027-E3Fract3_S27	AD027-E3Fract3_S27_L001_R1_001_noPrimers.fastq.gz	124570	121628	119424	109226	95970	90382
AD028-E3Fract4_S28	AD028-E3Fract4_S28	AD028-E3Fract4_S28_L001_R1_001_noPrimers.fastq.gz	196070	191318	186384	168568	157718	143014
AD029-E3Fract5_S29	AD029-E3Fract5_S29	AD029-E3Fract5_S29_L001_R1_001_noPrimers.fastq.gz	193190	189416	183524	167320	162196	143558
AD030-E3Fract6_S30	AD030-E3Fract6_S30	AD030-E3Fract6_S30_L001_R1_001_noPrimers.fastq.gz	208792	203298	197832	175758	172602	157548
