FractionID,Core,Fraction_no.,sample_name,Density..nD.TC.,Density..g.ml.1.,Replicate,Treatment,Headspace,Ammo,Label,Control,X16S.copies,StD,n,SE,Rel..fraction,frac.min,frac.max,Merged_sample_name,Read1_file,Input,Filtered,Denoised,Merged,Tabled,Nonchim,Density.zone,Library.size
Con1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,AD107-Negtve1_S107,AD107-Negtve1_S107_L001_R1_001_noPrimers.fastq.gz,39484,35660,35126,25997,25991,23809,NA,24768
Con2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,AD108-Negtve2_S108,AD108-Negtve2_S108_L001_R1_001_noPrimers.fastq.gz,35363,32313,31934,22409,22409,20495,NA,20556
Con3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,AD109-Negtve3_S109,AD109-Negtve3_S109_L001_R1_001_noPrimers.fastq.gz,19740,17031,16808,6728,6728,4862,NA,4163
E1Fract1,E1,1,AD001,1.3879,1.537075523,1,CH4,CH4,no,Labelled,FALSE,83000,2500,2,1700,0.004620609029672,0.004525970049546,0.004715248009798,AD001-E1Fract1_S1,AD001-E1Fract1_S1_L001_R1_001_noPrimers.fastq.gz,203072,189480,185822,148440,140544,123882,Light,124056
E1Fract10,E1,10,AD010,1.4063,1.733594331,1,CH4,CH4,no,Labelled,FALSE,280000,1000,2,700,0.015587596726605,0.015548627734788,0.015626565718421,AD010-E1Fract10_S10,AD010-E1Fract10_S10_L001_R1_001_noPrimers.fastq.gz,203064,198270,193276,174060,171262,159328,Heavy,159704
E1Fract11,E1,11,AD011,1.4074,1.745342738,1,CH4,CH4,no,Labelled,FALSE,150000,6100,2,4300,0.008350498246395,0.008111117296665,0.008589879196125,AD011-E1Fract11_S11,AD011-E1Fract11_S11_L001_R1_001_noPrimers.fastq.gz,190264,184138,180392,151406,149698,136894,Heavy,137160
E1Fract12,E1,12,AD012,1.4082,1.753887034,1,CH4,CH4,no,Labelled,FALSE,180000,3000,2,2100,0.010020597895674,0.009903690920225,0.010137504871124,AD012-E1Fract12_S12,AD012-E1Fract12_S12_L001_R1_001_noPrimers.fastq.gz,199908,193726,189594,165224,163726,150816,Heavy,150918
E1Fract2,E1,2,AD002,1.3987,1.652423519,1,CH4,CH4,no,Labelled,FALSE,250000,2100,2,1500,0.013917497077326,0.013833992094862,0.01400100205979,AD002-E1Fract2_S2,AD002-E1Fract2_S2_L001_R1_001_noPrimers.fastq.gz,193516,186934,183436,163218,152352,143658,Light,143686
E1Fract3,E1,3,AD003,1.3997,1.663103889,1,CH4,CH4,no,Labelled,FALSE,610000,440,2,310,0.033958692868675,0.033941435172299,0.03397595056505,AD003-E1Fract3_S3,AD003-E1Fract3_S3_L001_R1_001_noPrimers.fastq.gz,199058,189620,186542,143988,128630,117984,Light,117850
E1Fract4,E1,4,AD004,1.4005,1.671648185,1,CH4,CH4,no,Labelled,FALSE,1600000,66000,2,47000,0.089071981294884,0.086455491844347,0.091688470745421,AD004-E1Fract4_S4,AD004-E1Fract4_S4_L001_R1_001_noPrimers.fastq.gz,165730,159410,155806,127126,113654,101174,Light,101274
